gate,check_id,table,dimension,severity,status,observed,expected,details
DQ_GATE_01_STRUCTURAL,geolocation-SCHEMA,geolocation,schema_columns,CRITICAL,PASS,"['geolocation_zip_code_prefix', 'geolocation_lat', 'geolocation_lng', 'geolocation_city', 'geolocation_state']","['geolocation_zip_code_prefix', 'geolocation_lat', 'geolocation_lng', 'geolocation_city', 'geolocation_state']",
DQ_GATE_01_STRUCTURAL,geolocation-ORDER,geolocation,column_order,CRITICAL,PASS,expected order,expected order,
DQ_GATE_01_STRUCTURAL,geolocation-TYPE-geolocation_zip_code_prefix,geolocation,dtype,CRITICAL,PASS,int64,integer,
DQ_GATE_01_STRUCTURAL,geolocation-TYPE-geolocation_lat,geolocation,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,geolocation-TYPE-geolocation_lng,geolocation,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,geolocation-TYPE-geolocation_city,geolocation,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,geolocation-TYPE-geolocation_state,geolocation,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,geolocation-ROWDUP,geolocation,full_row_duplicates,WARNING,WARN,261831,informational / allowed at structural gate,
DQ_GATE_01_STRUCTURAL,order_items-READ,order_items,readability,CRITICAL,PASS,read successfully,read successfully,
DQ_GATE_01_STRUCTURAL,order_items-ROWS,order_items,non_empty,CRITICAL,PASS,112650,> 0,
DQ_GATE_01_STRUCTURAL,order_items-SCHEMA,order_items,schema_columns,CRITICAL,PASS,"['order_id', 'order_item_id', 'product_id', 'seller_id', 'shipping_limit_date', 'price', 'freight_value']","['order_id', 'order_item_id', 'product_id', 'seller_id', 'shipping_limit_date', 'price', 'freight_value']",
DQ_GATE_01_STRUCTURAL,order_items-ORDER,order_items,column_order,CRITICAL,PASS,expected order,expected order,
DQ_GATE_01_STRUCTURAL,order_items-TYPE-order_id,order_items,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,order_items-TYPE-order_item_id,order_items,dtype,CRITICAL,PASS,int64,integer,
DQ_GATE_01_STRUCTURAL,order_items-TYPE-product_id,order_items,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,order_items-TYPE-seller_id,order_items,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,order_items-TYPE-shipping_limit_date,order_items,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,order_items-TYPE-price,order_items,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,order_items-TYPE-freight_value,order_items,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,order_items-NULL-order_id,order_items,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,order_items-NULL-order_item_id,order_items,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,order_items-NULL-product_id,order_items,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,order_items-NULL-seller_id,order_items,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,order_items-PKNULL,order_items,primary_key_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,order_items-PKUNIQUE,order_items,primary_key_uniqueness,CRITICAL,PASS,0,0,order_id+order_item_id
DQ_GATE_01_STRUCTURAL,order_items-ROWDUP,order_items,full_row_duplicates,CRITICAL,PASS,0,<= 0,
DQ_GATE_01_STRUCTURAL,payments-READ,payments,readability,CRITICAL,PASS,read successfully,read successfully,
DQ_GATE_01_STRUCTURAL,payments-ROWS,payments,non_empty,CRITICAL,PASS,103886,> 0,
DQ_GATE_01_STRUCTURAL,payments-SCHEMA,payments,schema_columns,CRITICAL,PASS,"['order_id', 'payment_sequential', 'payment_type', 'payment_installments', 'payment_value']","['order_id', 'payment_sequential', 'payment_type', 'payment_installments', 'payment_value']",
DQ_GATE_01_STRUCTURAL,payments-ORDER,payments,column_order,CRITICAL,PASS,expected order,expected order,
DQ_GATE_01_STRUCTURAL,payments-TYPE-order_id,payments,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,payments-TYPE-payment_sequential,payments,dtype,CRITICAL,PASS,int64,integer,
DQ_GATE_01_STRUCTURAL,payments-TYPE-payment_type,payments,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,payments-TYPE-payment_installments,payments,dtype,CRITICAL,PASS,int64,integer,
DQ_GATE_01_STRUCTURAL,payments-TYPE-payment_value,payments,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,payments-NULL-order_id,payments,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,payments-NULL-payment_sequential,payments,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,payments-PKNULL,payments,primary_key_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,payments-PKUNIQUE,payments,primary_key_uniqueness,CRITICAL,PASS,0,0,order_id+payment_sequential
DQ_GATE_01_STRUCTURAL,payments-ROWDUP,payments,full_row_duplicates,CRITICAL,PASS,0,<= 0,
DQ_GATE_01_STRUCTURAL,reviews-READ,reviews,readability,CRITICAL,PASS,read successfully,read successfully,
DQ_GATE_01_STRUCTURAL,reviews-ROWS,reviews,non_empty,CRITICAL,PASS,99224,> 0,
DQ_GATE_01_STRUCTURAL,reviews-SCHEMA,reviews,schema_columns,CRITICAL,PASS,"['review_id', 'order_id', 'review_score', 'review_comment_title', 'review_comment_message', 'review_creation_date', 'review_answer_timestamp']","['review_id', 'order_id', 'review_score', 'review_comment_title', 'review_comment_message', 'review_creation_date', 'review_answer_timestamp']",
DQ_GATE_01_STRUCTURAL,reviews-ORDER,reviews,column_order,CRITICAL,PASS,expected order,expected order,
DQ_GATE_01_STRUCTURAL,reviews-TYPE-review_id,reviews,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,reviews-TYPE-order_id,reviews,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,reviews-TYPE-review_score,reviews,dtype,CRITICAL,PASS,int64,integer,
DQ_GATE_01_STRUCTURAL,reviews-TYPE-review_comment_title,reviews,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,reviews-TYPE-review_comment_message,reviews,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,reviews-TYPE-review_creation_date,reviews,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,reviews-TYPE-review_answer_timestamp,reviews,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,reviews-NULL-review_id,reviews,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,reviews-NULL-order_id,reviews,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,reviews-ROWDUP,reviews,full_row_duplicates,CRITICAL,PASS,0,<= 0,
DQ_GATE_01_STRUCTURAL,orders-READ,orders,readability,CRITICAL,PASS,read successfully,read successfully,
DQ_GATE_01_STRUCTURAL,orders-ROWS,orders,non_empty,CRITICAL,PASS,99441,> 0,
DQ_GATE_01_STRUCTURAL,orders-SCHEMA,orders,schema_columns,CRITICAL,PASS,"['order_id', 'customer_id', 'order_status', 'order_purchase_timestamp', 'order_approved_at', 'order_delivered_carrier_date', 'order_delivered_customer_date', 'order_estimated_delivery_date']","['order_id', 'customer_id', 'order_status', 'order_purchase_timestamp', 'order_approved_at', 'order_delivered_carrier_date', 'order_delivered_customer_date', 'order_estimated_delivery_date']",
DQ_GATE_01_STRUCTURAL,orders-ORDER,orders,column_order,CRITICAL,PASS,expected order,expected order,
DQ_GATE_01_STRUCTURAL,orders-TYPE-order_id,orders,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,orders-TYPE-customer_id,orders,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,orders-TYPE-order_status,orders,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,orders-TYPE-order_purchase_timestamp,orders,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,orders-TYPE-order_approved_at,orders,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,orders-TYPE-order_delivered_carrier_date,orders,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,orders-TYPE-order_delivered_customer_date,orders,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,orders-TYPE-order_estimated_delivery_date,orders,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,orders-NULL-order_id,orders,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,orders-NULL-customer_id,orders,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,orders-PKNULL,orders,primary_key_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,orders-PKUNIQUE,orders,primary_key_uniqueness,CRITICAL,PASS,0,0,order_id
DQ_GATE_01_STRUCTURAL,orders-ROWDUP,orders,full_row_duplicates,CRITICAL,PASS,0,<= 0,
DQ_GATE_01_STRUCTURAL,products-READ,products,readability,CRITICAL,PASS,read successfully,read successfully,
DQ_GATE_01_STRUCTURAL,products-ROWS,products,non_empty,CRITICAL,PASS,32951,> 0,
DQ_GATE_01_STRUCTURAL,products-SCHEMA,products,schema_columns,CRITICAL,PASS,"['product_id', 'product_category_name', 'product_name_lenght', 'product_description_lenght', 'product_photos_qty', 'product_weight_g', 'product_length_cm', 'product_height_cm', 'product_width_cm']","['product_id', 'product_category_name', 'product_name_lenght', 'product_description_lenght', 'product_photos_qty', 'product_weight_g', 'product_length_cm', 'product_height_cm', 'product_width_cm']",
DQ_GATE_01_STRUCTURAL,products-ORDER,products,column_order,CRITICAL,PASS,expected order,expected order,
DQ_GATE_01_STRUCTURAL,products-TYPE-product_id,products,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,products-TYPE-product_category_name,products,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,products-TYPE-product_name_lenght,products,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,products-TYPE-product_description_lenght,products,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,products-TYPE-product_photos_qty,products,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,products-TYPE-product_weight_g,products,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,products-TYPE-product_length_cm,products,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,products-TYPE-product_height_cm,products,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,products-TYPE-product_width_cm,products,dtype,CRITICAL,PASS,float64,numeric,
DQ_GATE_01_STRUCTURAL,products-NULL-product_id,products,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,products-PKNULL,products,primary_key_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,products-PKUNIQUE,products,primary_key_uniqueness,CRITICAL,PASS,0,0,product_id
DQ_GATE_01_STRUCTURAL,products-ROWDUP,products,full_row_duplicates,CRITICAL,PASS,0,<= 0,
DQ_GATE_01_STRUCTURAL,sellers-READ,sellers,readability,CRITICAL,PASS,read successfully,read successfully,
DQ_GATE_01_STRUCTURAL,sellers-ROWS,sellers,non_empty,CRITICAL,PASS,3095,> 0,
DQ_GATE_01_STRUCTURAL,sellers-SCHEMA,sellers,schema_columns,CRITICAL,PASS,"['seller_id', 'seller_zip_code_prefix', 'seller_city', 'seller_state']","['seller_id', 'seller_zip_code_prefix', 'seller_city', 'seller_state']",
DQ_GATE_01_STRUCTURAL,sellers-ORDER,sellers,column_order,CRITICAL,PASS,expected order,expected order,
DQ_GATE_01_STRUCTURAL,sellers-TYPE-seller_id,sellers,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,sellers-TYPE-seller_zip_code_prefix,sellers,dtype,CRITICAL,PASS,int64,integer,
DQ_GATE_01_STRUCTURAL,sellers-TYPE-seller_city,sellers,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,sellers-TYPE-seller_state,sellers,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,sellers-NULL-seller_id,sellers,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,sellers-PKNULL,sellers,primary_key_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,sellers-PKUNIQUE,sellers,primary_key_uniqueness,CRITICAL,PASS,0,0,seller_id
DQ_GATE_01_STRUCTURAL,sellers-ROWDUP,sellers,full_row_duplicates,CRITICAL,PASS,0,<= 0,
DQ_GATE_01_STRUCTURAL,translation-READ,translation,readability,CRITICAL,PASS,read successfully,read successfully,
DQ_GATE_01_STRUCTURAL,translation-ROWS,translation,non_empty,CRITICAL,PASS,71,> 0,
DQ_GATE_01_STRUCTURAL,translation-SCHEMA,translation,schema_columns,CRITICAL,PASS,"['product_category_name', 'product_category_name_english']","['product_category_name', 'product_category_name_english']",
DQ_GATE_01_STRUCTURAL,translation-ORDER,translation,column_order,CRITICAL,PASS,expected order,expected order,
DQ_GATE_01_STRUCTURAL,translation-TYPE-product_category_name,translation,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,translation-TYPE-product_category_name_english,translation,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,translation-NULL-product_category_name,translation,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,translation-PKNULL,translation,primary_key_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,translation-PKUNIQUE,translation,primary_key_uniqueness,CRITICAL,PASS,0,0,product_category_name
DQ_GATE_01_STRUCTURAL,translation-ROWDUP,translation,full_row_duplicates,CRITICAL,PASS,0,<= 0,
DQ_GATE_01_STRUCTURAL,FK-01-orders-customer_id,orders,referential_integrity,CRITICAL,PASS,0,0,orders.customer_id -> customers.customer_id
DQ_GATE_01_STRUCTURAL,FK-02-order_items-order_id,order_items,referential_integrity,CRITICAL,PASS,0,0,order_items.order_id -> orders.order_id
DQ_GATE_01_STRUCTURAL,FK-03-order_items-product_id,order_items,referential_integrity,CRITICAL,PASS,0,0,order_items.product_id -> products.product_id
DQ_GATE_01_STRUCTURAL,FK-04-order_items-seller_id,order_items,referential_integrity,CRITICAL,PASS,0,0,order_items.seller_id -> sellers.seller_id
DQ_GATE_01_STRUCTURAL,FK-05-payments-order_id,payments,referential_integrity,CRITICAL,PASS,0,0,payments.order_id -> orders.order_id
DQ_GATE_01_STRUCTURAL,FK-06-reviews-order_id,reviews,referential_integrity,CRITICAL,PASS,0,0,reviews.order_id -> orders.order_id
