table,column,entity,event_stage,available_at_t0,availability_confidence,allowed_as_baseline_feature,allowed_as_target_source,leakage_risk,project_prediction_time,known_at_purchase,known_at_approval,known_at_shipping,known_at_delivery,point_in_time_rule
order_items,order_id,order_item,purchase/order composition,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
order_items,order_item_id,order_item,purchase/order composition,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
order_items,product_id,order_item,purchase/order composition,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
order_items,seller_id,order_item,purchase/order composition,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
order_items,shipping_limit_date,order_item,purchase/order composition,UNVERIFIED,LOW,HOLD,NO,POTENTIAL,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
order_items,price,order_item,purchase/order composition,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
order_items,freight_value,order_item,purchase/order composition,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
payments,order_id,order_payment,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,NO_RAW_IDENTIFIER,NO,REVIEW,order_purchase_timestamp,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
payments,payment_sequential,order_payment,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,YES_CANDIDATE_AFTER_PROVENANCE,NO,REVIEW,order_purchase_timestamp,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
payments,payment_type,order_payment,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,YES_CANDIDATE_AFTER_PROVENANCE,NO,REVIEW,order_purchase_timestamp,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
payments,payment_installments,order_payment,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,YES_CANDIDATE_AFTER_PROVENANCE,NO,REVIEW,order_purchase_timestamp,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
payments,payment_value,order_payment,checkout/payment,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,MEDIUM_LOW,YES_CANDIDATE_AFTER_PROVENANCE,NO,REVIEW,order_purchase_timestamp,ASSUMED_AT_CHECKOUT_NEEDS_VERIFICATION,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
reviews,review_id,order_review,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,NO,YES,FORBIDDEN_FOR_BASELINE_T0
reviews,order_id,order_review,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,NO,YES,FORBIDDEN_FOR_BASELINE_T0
reviews,review_score,order_review,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,NO,YES,FORBIDDEN_FOR_BASELINE_T0
reviews,review_comment_title,order_review,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,NO,YES,FORBIDDEN_FOR_BASELINE_T0
reviews,review_comment_message,order_review,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,NO,YES,FORBIDDEN_FOR_BASELINE_T0
reviews,review_creation_date,order_review,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,NO,YES,FORBIDDEN_FOR_BASELINE_T0
reviews,review_answer_timestamp,order_review,post_purchase/post_delivery,NO,HIGH,NO,NO,CRITICAL_IF_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,NO,YES,FORBIDDEN_FOR_BASELINE_T0
orders,order_id,order,purchase,YES,HIGH,NO_RAW_IDENTIFIER,NO,LOW,order_purchase_timestamp,YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
orders,customer_id,order,purchase,YES,HIGH,NO_RAW_IDENTIFIER,NO,LOW,order_purchase_timestamp,YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
orders,order_status,order,lifecycle/final recorded state,NO_AS_FINAL_RAW_VALUE,HIGH,NO,NO,CRITICAL_IF_FINAL_STATUS_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,YES_OR_LIKELY,LIKELY_OR_YES,FORBIDDEN_FOR_BASELINE_T0
orders,order_purchase_timestamp,order,purchase,YES,HIGH,DERIVE_CALENDAR_FEATURES,NO,LOW,order_purchase_timestamp,YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
orders,order_approved_at,order,post_purchase approval,NO,HIGH,NO,NO,HIGH,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,YES_OR_LIKELY,LIKELY_OR_YES,FORBIDDEN_FOR_BASELINE_T0
orders,order_delivered_carrier_date,order,shipping/handoff,NO,HIGH,NO,NO,CRITICAL_IF_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,YES_OR_LIKELY,LIKELY_OR_YES,FORBIDDEN_FOR_BASELINE_T0
orders,order_delivered_customer_date,order,delivery/outcome,NO,HIGH,NO,YES,CRITICAL_IF_USED,order_purchase_timestamp,NO_OR_UNVERIFIED,STAGE_DEPENDENT,YES_OR_LIKELY,YES,FORBIDDEN_FOR_BASELINE_T0
orders,order_estimated_delivery_date,order,purchase/promise,YES_CANDIDATE,HIGH,DERIVE_PROMISED_LEAD_TIME,YES,LOW,order_purchase_timestamp,YES_CANDIDATE,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
products,product_id,product,reference/master data,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
products,product_category_name,product,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
products,product_name_lenght,product,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
products,product_description_lenght,product,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
products,product_photos_qty,product,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
products,product_weight_g,product,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
products,product_length_cm,product,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
products,product_height_cm,product,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
products,product_width_cm,product,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
sellers,seller_id,seller,reference/master data,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
sellers,seller_zip_code_prefix,seller,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
sellers,seller_city,seller,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
sellers,seller_state,seller,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
translation,product_category_name,product_category_translation,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
translation,product_category_name_english,product_category_translation,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
